"YEAR","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","QLY_VESCOUNT","QLY_LBSLEASE","QLY_LBSLEASEMED","QLY_LBSLEASEAVG","QLY_COST_NOM","QLY_COST_REAL","QLY_COSTMED_NOM","QLY_COSTMED_REAL","QLY_COSTMEAN_NOM","QLY_COSTMEAN_REAL","QLY_PRICEMED_NOM","QLY_PRICEMED_REAL","QLY_PRICEMEAN_NOM","QLY_PRICEMEAN_REAL","QLY_LEASERATEMED","QLY_LEASERATEMEAN","LOAD_DATE","ADJUST_YR"
"2020","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVC + CPC",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2020","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CDQ + ACA",2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2020","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO A",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2020","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO B + CPO",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2019","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO A",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2019","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CDQ + ACA",2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2019","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO B + CPO",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2019","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVC + CPC",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2018","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVC + CPC",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2018","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO A",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2018","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CDQ + ACA",2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2018","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO B + CPO",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2017","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVC + CPC",5,203779,23277,40756,879711,926098,73130,76986,175942,185220,1.98,2.08,4.32,4.54,.52,.78,"12/10/2021",2020
"2017","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO B + CPO",5,1284746,118415,256949,2957332,3113272,372028,391645,591466,622654,2.76,2.91,2.3,2.42,.44,.37,"12/10/2021",2020
"2017","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CDQ + ACA",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2017","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO A",5,2367865,570183,473573,7084904,7458492,1447446,1523770,1416981,1491698,2.89,3.04,2.99,3.15,.36,.4,"12/10/2021",2020
"2016","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO B + CPO",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2016","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVC + CPC",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2016","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CDQ + ACA",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2016","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO A",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2015","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVC + CPC",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2015","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CDQ + ACA",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2015","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO A",5,2251996,351052,450399,5206393,5647017,924380,1002612,1041279,1129403,2.3,2.49,2.31,2.51,.41,.34,"12/10/2021",2020
"2015","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO B + CPO",5,1375295,105338,275059,2021912,2193029,211053,228915,404382,438606,1.38,1.5,1.47,1.59,.37,.34,"12/10/2021",2020
"2014","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO B + CPO",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2014","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVC + CPC",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2014","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO A",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2014","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CDQ + ACA",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2013","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO B + CPO",6,1284797,194662,214133,1831778,2045072,300628,335633,305296,340845,1.38,1.54,1.43,1.59,.38,.4,"12/10/2021",2020
"2013","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVC + CPC",5,151058,32119,30212,306438,342120,54323,60648,61288,68424,1.86,2.08,2.03,2.26,.41,.5,"12/10/2021",2020
"2013","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO A",5,2026226,327872,405245,3586874,4004533,573104,639837,717375,800907,1.5,1.68,1.77,1.98,.4,.43,"12/10/2021",2020
"2013","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CDQ + ACA",2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2012","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO B + CPO",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2012","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVC + CPC",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2012","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CDQ + ACA",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2012","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB","CVO A",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2020","BSS","BERING SEA SNOW CRAB","CVO B + CPO",41,3584521,55030,87427,7541717,7541717,114478,114478,183944,183944,1.98,1.98,2.1,2.1,.45,.45,"12/10/2021",2020
"2020","BSS","BERING SEA SNOW CRAB","CVC + CPC",34,829426,21448,24395,1716021,1716021,44333,44333,50471,50471,1.99,1.99,2.07,2.07,.46,.5,"12/10/2021",2020
"2020","BSS","BERING SEA SNOW CRAB","CDQ + ACA",8,2490832,294368,311354,5087704,5087704,621983,621983,635963,635963,2.05,2.05,2.04,2.04,.51,.51,"12/10/2021",2020
"2020","BSS","BERING SEA SNOW CRAB","CVO A",45,18443058,338023,409846,35402212,35402212,636083,636083,786716,786716,1.82,1.82,1.92,1.92,.38,.43,"12/10/2021",2020
"2019","BSS","BERING SEA SNOW CRAB","CVC + CPC",37,704224,17507,19033,1461053,1478042,38288,38733,39488,39947,1.99,2.01,2.07,2.1,.46,.55,"12/10/2021",2020
"2019","BSS","BERING SEA SNOW CRAB","CDQ + ACA",8,2034550,227539,254319,4248767,4298171,477687,483241,531096,537271,2.12,2.14,2.09,2.11,.48,.55,"12/10/2021",2020
"2019","BSS","BERING SEA SNOW CRAB","CVO A",48,15318283,234567,319131,28316812,28646074,437536,442623,589934,596793,1.81,1.83,1.85,1.87,.4,.41,"12/10/2021",2020
"2019","BSS","BERING SEA SNOW CRAB","CVO B + CPO",45,3094085,43601,68757,6069938,6140518,84362,85343,134888,136456,1.92,1.94,1.96,1.98,.44,.48,"12/10/2021",2020
"2018","BSS","BERING SEA SNOW CRAB","CVO B + CPO",42,2091392,31871,49795,4234921,4361290,61832,63677,100831,103840,2,2.06,2.02,2.09,.46,.49,"12/10/2021",2020
"2018","BSS","BERING SEA SNOW CRAB","CVC + CPC",36,500185,11961,13519,1039441,1070458,25629,26394,28873,29735,2.01,2.07,2.1,2.16,.46,.61,"12/10/2021",2020
"2018","BSS","BERING SEA SNOW CRAB","CDQ + ACA",6,1392592,228117,232099,2879525,2965450,478584,492864,479921,494242,2.1,2.16,2.07,2.13,.48,.55,"12/10/2021",2020
"2018","BSS","BERING SEA SNOW CRAB","CVO A",48,10046249,152557,209297,18722914,19281602,281946,290359,390061,401700,1.82,1.87,1.86,1.92,.43,.4,"12/10/2021",2020
"2017","BSS","BERING SEA SNOW CRAB","CVC + CPC",37,478801,11638,12941,1041370,1096282,22233,23405,28145,29629,2.04,2.15,2.17,2.29,.46,.53,"12/10/2021",2020
"2017","BSS","BERING SEA SNOW CRAB","CVO B + CPO",48,2469051,27984,51439,5127202,5397560,55717,58655,106817,112449,2.04,2.15,2.08,2.19,.46,.48,"12/10/2021",2020
"2017","BSS","BERING SEA SNOW CRAB","CVO A",52,11518499,175729,221510,22070193,23233956,323173,340213,424427,446807,1.84,1.94,1.92,2.02,.4,.38,"12/10/2021",2020
"2017","BSS","BERING SEA SNOW CRAB","CDQ + ACA",8,1982018,221570,247752,4127431,4345071,469407,494158,515929,543134,2.05,2.15,2.08,2.19,.48,.54,"12/10/2021",2020
"2016","BSS","BERING SEA SNOW CRAB","CVO A",54,19639881,337358,363702,25954193,27847356,402582,431947,480633,515692,1.24,1.33,1.32,1.42,.39,.39,"12/10/2021",2020
"2016","BSS","BERING SEA SNOW CRAB","CDQ + ACA",7,3041665,334549,434524,4339585,4656125,457329,490688,619941,665161,1.38,1.48,1.43,1.53,.5,.56,"12/10/2021",2020
"2016","BSS","BERING SEA SNOW CRAB","CVC + CPC",36,925253,23928,25701,1271442,1364184,32721,35108,35318,37894,1.31,1.4,1.37,1.47,.46,.54,"12/10/2021",2020
"2016","BSS","BERING SEA SNOW CRAB","CVO B + CPO",45,3867737,45256,85950,5462553,5861005,69856,74951,121390,130245,1.31,1.41,1.41,1.52,.46,.46,"12/10/2021",2020
"2015","BSS","BERING SEA SNOW CRAB","CVO B + CPO",47,6288745,82376,133803,6470701,7018325,78130,84742,137674,149326,.98,1.06,1.03,1.12,.45,.46,"12/10/2021",2020
"2015","BSS","BERING SEA SNOW CRAB","CVC + CPC",37,1515744,37900,39888,1556935,1688701,39282,42606,42079,45641,.98,1.07,1.04,1.13,.46,.66,"12/10/2021",2020
"2015","BSS","BERING SEA SNOW CRAB","CDQ + ACA",7,4150070,509278,592867,4401958,4774502,540751,586516,628851,682072,1.03,1.12,1.06,1.15,.5,.56,"12/10/2021",2020
"2015","BSS","BERING SEA SNOW CRAB","CVO A",55,30362225,523300,552040,29528497,32027534,485201,526264,536882,582319,.93,1.01,.97,1.05,.36,.37,"12/10/2021",2020
"2014","BSS","BERING SEA SNOW CRAB","CVO A",57,29682643,442043,520748,32362233,35463233,489154,536026,567758,622162,1.12,1.23,1.09,1.19,.37,.38,"12/10/2021",2020
"2014","BSS","BERING SEA SNOW CRAB","CVC + CPC",37,1258304,31815,33113,1464504,1604835,38072,41720,39581,43374,1.22,1.33,1.18,1.29,.46,.48,"12/10/2021",2020
"2014","BSS","BERING SEA SNOW CRAB","CDQ + ACA",10,5367242,422745,536724,6338002,6945319,510427,559337,633800,694532,1.23,1.35,1.18,1.29,.49,.56,"12/10/2021",2020
"2014","BSS","BERING SEA SNOW CRAB","CVO B + CPO",48,5987686,75516,124743,7187369,7876074,101737,111485,149737,164085,1.21,1.33,1.2,1.32,.45,.43,"12/10/2021",2020
"2013","BSS","BERING SEA SNOW CRAB","CVO A",56,34352578,486626,613439,36888659,41184014,514115,573979,658726,735429,1.06,1.19,1.07,1.2,.37,.37,"12/10/2021",2020
"2013","BSS","BERING SEA SNOW CRAB","CDQ + ACA",11,6409214,563975,582656,7985709,8915574,747644,834700,725974,810507,1.24,1.39,1.25,1.39,.52,.59,"12/10/2021",2020
"2013","BSS","BERING SEA SNOW CRAB","CVC + CPC",41,1767023,35797,43098,2080068,2322273,39947,44598,50733,56641,1.13,1.26,1.18,1.31,.46,.47,"12/10/2021",2020
"2013","BSS","BERING SEA SNOW CRAB","CVO B + CPO",50,7740913,82908,154818,9536706,10647170,95904,107071,190734,212943,1.15,1.28,1.23,1.38,.45,.48,"12/10/2021",2020
"2012","BSS","BERING SEA SNOW CRAB","CVC + CPC",39,1879878,47826,46997,2004887,2278013,49486,56227,51407,58411,1.09,1.24,1.08,1.23,.46,.38,"12/10/2021",2020
"2012","BSS","BERING SEA SNOW CRAB","CDQ + ACA",11,6463574,563348,587598,7286148,8278740,661899,752070,662377,752613,1.12,1.27,1.13,1.28,.49,.58,"12/10/2021",2020
"2012","BSS","BERING SEA SNOW CRAB","CVO A",55,42796158,640323,778112,42541947,48337436,656148,745535,773490,878862,1,1.13,.99,1.13,.36,.36,"12/10/2021",2020
"2012","BSS","BERING SEA SNOW CRAB","CVO B + CPO",47,6989611,83968,148715,7804271,8867447,100241,113897,166048,188669,1.09,1.24,1.12,1.27,.41,.41,"12/10/2021",2020
