"GEAR_TYPE","GEAR_CODE","GEAR_NAME","GEAR_DESCRIPTION","GEAR_GROUP_CODE"
"3","ALL","ALL GEARS","ALL GEARS",""
"1","BMT","BEAM TRAWL","BEAM TRAWL","TWL"
"1","BTR","BTM-TROLL","BOTTOMFISH TROLL","TLS"
"1","BTT","BTM-TRAWL","BOTTOM TRAWL","TWL"
"1","CBF","CTCHER-FR","BOTTOM TRAWL, CATCHER BOAT, FOREIGN","TWL"
"1","CBJ","CTCHER-JV","BOTTOM TRAWL, CATCHER BOAT, JV","TWL"
"1","CLP","C&L POT","CRAB AND LOBSTER  POT","POT"
"1","CPT","CRAB POT","CRAB POT","POT"
"1","DGN","DRF GL NET","DRIFT GILL NET","NET"
"1","DNT","DNSH SEINE","DANISH/SCOTTISH SEINE (TRAWL)","TWL"
"1","DPN","DIP NET","DIP NET","NET"
"2","DRG","DREDGES","ALL DREDGE GEAR","ALL"
"1","DRL","DROP LINE","DROP LINE","HKL"
"1","DST","DBL-SHRIMP","SHRIMP TRAWL, DOUBLE RIGGED","TWS"
"1","DVG","DIVING GR","DIVING GEAR","MSC"
"1","FFT","FLT-TRAWL","FLATFISH TRAWL","TWL"
"1","FPT","FISH POT","FISH POT","POT"
"1","FTS","SEL FF TWL","SELECTIVE FF TRAWL, SMALL FOOTROPE","TWL"
"1","GFL","GFTRAWL>8","GROUNDFISH TRAWL, FOOTROPE > 8 IN.","TWL"
"1","GFS","GFTRAWL<8","GROUNDFISH TRAWL, FOOTROPE < 8 IN.","TWL"
"1","GFT","GFSH-TRAWL","GROUNDFISH TRAWL (OTTER)","TWL"
"1","GLN","GILL NET","GILL NET","NET"
"1","HDL","HAND LINE","HAND LINE","HKL"
"2","HKL","HOOK&LINE","ALL HOOK AND LINE GEAR EXCEPT TROLL","ALL"
"1","HLR","POLE(REC)","HOOK AND LINE (RECREATIONAL)","HKL"
"1","HTR","HAND TROLL","HAND TROLL","TLS"
"1","JIG","JIG","JIG","HKL"
"1","LFZ","LARGE-FRZ","BOTTOM TRAWL, LARGE FREEZER TRAWLER","TWL"
"1","LGL","LONGLINE","LONGLINE OR SETLINE","HKL"
"1","LPT","LBSTR POT","LOBSTER POT","POT"
"1","MDT","MID-TRAWL","MIDWATER TRAWL","TWL"
"1","MPT","CP-MTRAWL","MIDWATER TRAWL - CATCHER/PROCESSOR","TWL"
"2","MSC","OTH GEARS","ALL OTHER MISCELLANEOUS GEAR","ALL"
"2","NET","NETS","ALL NET GEAR EXCEPT TRAWL","ALL"
"2","NTW","NON-TRAWL","NON-TRAWL GEAR","ALL"
"1","ODG","OTH-DREDGE","OTHER DREDGE GEAR","DRG"
"1","OHL","OTH HK&LN","OTHER HOOK AND LINE GEAR","HKL"
"1","ONT","OTHER NETS","OTHER NET GEAR","NET"
"1","OPT","OTHER POTS","OTHER POT GEAR","POT"
"1","OTH","OTH-KNOWN","OTHER KNOWN GEAR","MSC"
"1","OTW","OTH TRAWLS","OTHER TRAWL GEAR","TWL"
"1","POL","POLE(COM)","POLE (COMMERCIAL)","HKL"
"2","POT","POT&TRAP","ALL POT AND TRAP GEAR","ALL"
"1","PRT","PAIR TRAWL","PAIR TRAWL","TWL"
"1","PRW","PRWN TRAP","PRAWN TRAP","POT"
"1","PTR","P-G-TROLL","POWER GURDY TROLL","TLS"
"1","PWT","PRWN-TRAWL","PRAWN TRAWL","TWS"
"1","RLT","RLR-TRAWL","ROLLER TRAWL","TWL"
"1","RVT","RVR-TRAWL","RIVER TRAWL","MSC"
"1","SCD","SCL-DREDGE","SCALLOP DREDGE","DRG"
"1","SEN","SEINE","SEINE","NET"
"1","SFZ","SMALL-FRZ","BOTTOM TRAWL, SMALL FREEZER TRAWLER","TWL"
"1","SGN","SUNKN GLNT","SUNKEN GILLNET","NET"
"1","SHT","SHMP-TRAWL","SHRIMP TRAWL, SINGLE OR DOUBLE RIG","TWS"
"1","SPT","SNAIL POT","SNAIL POT","POT"
"1","SRM","SURIMI","BOTTOM TRAWL, SURIMI TRAWLER","TWL"
"1","SST","SGL-SHRIMP","SHRIMP TRAWL, SINGLE RIGGED","TWS"
"1","STL","SETLINE","SETLINE","HKL"
"1","STN","SET NET","SET NET","NET"
"2","TLS","TROLLS","ALL TROLL GEAR","ALL"
"1","TML","TRAMMEL","TRAMMEL","NET"
"1","TRL","TROLL","TROLL","TLS"
"2","TWL","TRAWLS","ALL TRAWLS EXCEPT SHRIMP TRAWLS","ALL"
"2","TWS","SH-TRAWLS","ALL SHRIMP TRAWLS","ALL"
"1","USP","UNKN-GEAR","UNKNOWN OR UNSPECIFIED GEAR","MSC"
"1","VHL","VRTCL HKL","VERTICAL HOOK AND LINE GEAR","HKL"
"","XXX","XXX","UNKNOWN GEAR (BDS)","XXX"
"1","BUS","STANDARD BUOY","STANDARD BUOY GEAR, DEEP SET","MSC"
"1","BUL","LINKED BUOY","LINKED BUOY GEAR, DEEP SET","MSC"